Module                  Size  Used by
isofs                  61440  1
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
nf_tables             385024  0
snd_intel8x0           53248  1
snd_ac97_codec        196608  1 snd_intel8x0
ac97_bus               12288  1 snd_ac97_codec
snd_pcm               200704  2 snd_intel8x0,snd_ac97_codec
snd_seq_midi           24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
intel_rapl_msr         20480  0
snd_rawmidi            57344  1 snd_seq_midi
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
intel_rapl_common      53248  1 intel_rapl_msr
vmwgfx                471040  3
snd                   143360  11 snd_seq,snd_seq_device,snd_intel8x0,snd_timer,snd_ac97_codec,snd_pcm,snd_rawmidi
joydev                 32768  0
drm_ttm_helper         16384  2 vmwgfx
vboxguest             507904  4
polyval_clmulni        12288  0
ghash_clmulni_intel    12288  0
soundcore              16384  1 snd
i2c_piix4              32768  0
ttm                   126976  2 vmwgfx,drm_ttm_helper
aesni_intel            98304  0
i2c_smbus              20480  1 i2c_piix4
input_leds             12288  0
binfmt_misc            24576  1
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  2 nf_tables
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_generic            12288  0
usbhid                 77824  0
video                  77824  0
hid                   262144  2 usbhid,hid_generic
vga16fb                32768  0
psmouse               217088  0
vgastate               20480  1 vga16fb
ahci                   49152  1
e1000                 180224  0
libahci                53248  1 ahci
wmi                    28672  1 video
pata_acpi              12288  0
